DATE,TMIN
10/6/2013,35
10/7/2013,43
10/8/2013,45
10/9/2013,42
10/10/2013,29
10/11/2013,27
10/12/2013,31
10/13/2013,41
10/14/2013,34
10/15/2013,30
10/16/2013,28
10/17/2013,29
10/18/2013,31
10/19/2013,32
10/20/2013,36
10/21/2013,38
10/22/2013,38
10/23/2013,41
10/24/2013,44
10/25/2013,37
10/26/2013,38
10/27/2013,38
10/28/2013,38
10/29/2013,27
10/30/2013,25
10/31/2013,24
11/1/2013,31
11/2/2013,35
11/3/2013,36
11/4/2013,31
11/5/2013,22
11/6/2013,21
11/7/2013,28
11/8/2013,34
11/9/2013,36
11/10/2013,39
11/11/2013,39
11/12/2013,38
11/13/2013,36
11/14/2013,32
11/15/2013,32
11/16/2013,30
11/17/2013,30
11/18/2013,30
11/19/2013,33
11/20/2013,32
11/21/2013,31
11/22/2013,32
11/23/2013,28
11/24/2013,20
11/25/2013,20
11/26/2013,17
11/27/2013,22
11/28/2013,27
11/29/2013,28
11/30/2013,29
12/1/2013,23
12/2/2013,21
12/3/2013,22
12/4/2013,7
12/5/2013,6
12/6/2013,6
12/7/2013,11
12/8/2013,1
12/9/2013,-1
12/10/2013,2
12/11/2013,16
12/12/2013,25
12/13/2013,23
12/14/2013,19
12/15/2013,16
12/16/2013,25
12/17/2013,30
12/18/2013,33
12/19/2013,31
12/20/2013,22
12/21/2013,18
12/22/2013,15
12/23/2013,14
12/24/2013,21
12/25/2013,23
12/26/2013,25
12/27/2013,29
12/28/2013,27
12/29/2013,23
12/30/2013,18
12/31/2013,23
1/1/2014,29
1/2/2014,26
1/3/2014,28
1/4/2014,12
1/5/2014,6
1/6/2014,8
1/7/2014,20
1/8/2014,20
1/9/2014,22
1/10/2014,20
1/11/2014,26
1/12/2014,21
1/13/2014,16
1/14/2014,24
1/15/2014,23
1/16/2014,30
1/17/2014,27
1/18/2014,28
1/19/2014,30
1/20/2014,29
1/21/2014,30
1/22/2014,26
1/23/2014,22
1/24/2014,19
1/25/2014,26
1/26/2014,26
1/27/2014,28
1/28/2014,26
1/29/2014,22
1/30/2014,28
1/31/2014,22
2/1/2014,14
2/2/2014,10
2/3/2014,17
2/4/2014,13
2/5/2014,9
2/6/2014,14
2/7/2014,21
2/8/2014,23
2/9/2014,28
2/10/2014,30
2/11/2014,24
2/12/2014,26
2/13/2014,36
2/14/2014,38
2/15/2014,37
2/16/2014,37
2/17/2014,31
2/18/2014,36
2/19/2014,22
2/20/2014,14
2/21/2014,20
2/22/2014,27
2/23/2014,29
2/24/2014,33
2/25/2014,34
2/26/2014,35
2/27/2014,29
2/28/2014,25
3/1/2014,30
3/2/2014,28
3/3/2014,27
3/4/2014,29
3/5/2014,28
3/6/2014,32
3/7/2014,30
3/8/2014,29
3/9/2014,28
3/10/2014,38
3/11/2014,26
3/12/2014,22
3/13/2014,29
3/14/2014,31
3/15/2014,28
3/16/2014,27
3/17/2014,31
3/18/2014,21
3/19/2014,22
3/20/2014,26
3/21/2014,34
3/22/2014,31
3/23/2014,30
3/24/2014,36
3/25/2014,34
3/26/2014,28
3/27/2014,27
3/28/2014,29
3/29/2014,30
3/30/2014,28
3/31/2014,23
4/1/2014,34
4/2/2014,24
4/3/2014,22
4/4/2014,23
4/5/2014,33
4/6/2014,30
4/7/2014,31
4/8/2014,38
4/9/2014,40
4/10/2014,44
4/11/2014,44
4/12/2014,43
4/13/2014,28
4/14/2014,23
4/15/2014,28
4/16/2014,37
4/17/2014,33
4/18/2014,40
4/19/2014,38
4/20/2014,39
4/21/2014,44
4/22/2014,45
4/23/2014,34
4/24/2014,31
4/25/2014,40
4/26/2014,25
4/27/2014,26
4/28/2014,27
4/29/2014,25
4/30/2014,30
5/1/2014,31
5/2/2014,38
5/3/2014,45
5/4/2014,49
5/5/2014,47
5/6/2014,46
5/7/2014,35
5/8/2014,31
5/9/2014,34
5/10/2014,43
5/11/2014,30
5/12/2014,29
5/13/2014,25
5/14/2014,28
5/15/2014,38
5/16/2014,45
5/17/2014,49
5/18/2014,52
5/19/2014,49
5/20/2014,48
5/21/2014,50
5/22/2014,47
5/23/2014,41
5/24/2014,36
5/25/2014,37
5/26/2014,39
5/27/2014,50
5/28/2014,56
5/29/2014,55
5/30/2014,49
5/31/2014,53
6/1/2014,55
6/2/2014,53
6/3/2014,59
6/4/2014,54
6/5/2014,53
6/6/2014,55
6/7/2014,54
6/8/2014,48
6/9/2014,44
6/10/2014,51
6/11/2014,55
6/12/2014,53
6/13/2014,54
6/14/2014,50
6/15/2014,45
6/16/2014,49
6/17/2014,50
6/18/2014,49
6/19/2014,49
6/20/2014,51
6/21/2014,58
6/22/2014,56
6/23/2014,55
6/24/2014,58
6/25/2014,56
6/26/2014,54
6/27/2014,52
6/28/2014,57
6/29/2014,58
6/30/2014,64
7/1/2014,58
7/2/2014,56
7/3/2014,58
7/4/2014,54
7/5/2014,55
7/6/2014,56
7/7/2014,59
7/8/2014,54
7/9/2014,53
7/10/2014,54
7/11/2014,56
7/12/2014,56
7/13/2014,59
7/14/2014,57
7/15/2014,54
7/16/2014,53
7/17/2014,53
7/18/2014,57
7/19/2014,62
7/20/2014,61
7/21/2014,61
7/22/2014,60
7/23/2014,61
7/24/2014,56
7/25/2014,61
7/26/2014,62
7/27/2014,56
7/28/2014,55
7/29/2014,53
7/30/2014,55
7/31/2014,54
8/1/2014,53
8/2/2014,52
8/3/2014,55
8/4/2014,55
8/5/2014,53
8/6/2014,56
8/7/2014,56
8/8/2014,52
8/9/2014,56
8/10/2014,57
8/11/2014,55
8/12/2014,53
8/13/2014,55
8/14/2014,54
8/15/2014,55
8/16/2014,55
8/17/2014,57
8/18/2014,58
8/19/2014,55
8/20/2014,51
8/21/2014,52
8/22/2014,48
8/23/2014,48
8/24/2014,52
8/25/2014,55
8/26/2014,51
8/27/2014,45
8/28/2014,46
8/29/2014,50
8/30/2014,53
8/31/2014,54
9/1/2014,56
9/2/2014,58
9/3/2014,59
9/4/2014,50
9/5/2014,49
9/6/2014,51
9/7/2014,51
9/8/2014,54
9/9/2014,45
9/10/2014,44
9/11/2014,46
9/12/2014,50
9/13/2014,45
9/14/2014,50
9/15/2014,51
9/16/2014,52
9/17/2014,52
9/18/2014,53
9/19/2014,52
9/20/2014,55
9/21/2014,51
9/22/2014,52
9/23/2014,49
9/24/2014,54
9/25/2014,52
9/26/2014,51
9/27/2014,52
9/28/2014,42
9/29/2014,38
9/30/2014,37
10/1/2014,40
10/2/2014,34
10/3/2014,37
10/4/2014,44
10/5/2014,45
10/6/2014,49
10/7/2014,44
10/8/2014,48
10/9/2014,43
10/10/2014,42
10/11/2014,39
10/12/2014,36
10/13/2014,33
10/14/2014,38
10/15/2014,46
10/16/2014,46
10/17/2014,47
10/18/2014,47
10/19/2014,44
10/20/2014,44
10/21/2014,45
10/22/2014,42
10/23/2014,43
10/24/2014,47
10/25/2014,48
10/26/2014,47
10/27/2014,38
10/28/2014,35
10/29/2014,39
10/30/2014,43
10/31/2014,42
11/1/2014,42
11/2/2014,33
11/3/2014,27
11/4/2014,29
11/5/2014,33
11/6/2014,40
11/7/2014,40
11/8/2014,40
11/9/2014,39
11/10/2014,36
11/11/2014,31
11/12/2014,33
11/13/2014,30
11/14/2014,30
11/15/2014,29
11/16/2014,17
11/17/2014,14
11/18/2014,19
11/19/2014,20
11/20/2014,27
11/21/2014,29
11/22/2014,29
11/23/2014,20
11/24/2014,16
11/25/2014,17
11/26/2014,32
11/27/2014,34
11/28/2014,39
11/29/2014,36
11/30/2014,34
12/1/2014,29
12/2/2014,31
12/3/2014,32
12/4/2014,32
12/5/2014,29
12/6/2014,34
12/7/2014,32
12/8/2014,33
12/9/2014,36
12/10/2014,33
12/11/2014,36
12/12/2014,37
12/13/2014,26
12/14/2014,21
12/15/2014,17
12/16/2014,21
12/17/2014,26
12/18/2014,21
12/19/2014,17
12/20/2014,18
12/21/2014,21
12/22/2014,23
12/23/2014,16
12/24/2014,16
12/25/2014,16
12/26/2014,9
12/27/2014,7
12/28/2014,8
12/29/2014,11
12/30/2014,11
12/31/2014,16
1/1/2015,11
1/2/2015,10
1/3/2015,14
1/4/2015,13
1/5/2015,22
1/6/2015,31
1/7/2015,35
1/8/2015,32
1/9/2015,28
1/10/2015,24
1/11/2015,27
1/12/2015,26
1/13/2015,27
1/14/2015,23
1/15/2015,20
1/16/2015,26
1/17/2015,26
1/18/2015,28
1/19/2015,30
1/20/2015,29
1/21/2015,19
1/22/2015,15
1/23/2015,15
1/24/2015,25
1/25/2015,27
1/26/2015,33
1/27/2015,37
1/28/2015,33
1/29/2015,32
1/30/2015,28
1/31/2015,26
2/1/2015,22
2/2/2015,23
2/3/2015,29
2/4/2015,32
2/5/2015,37
2/6/2015,38
2/7/2015,39
2/8/2015,37
2/9/2015,37
2/10/2015,37
2/11/2015,31
2/12/2015,28
2/13/2015,36
2/14/2015,38
2/15/2015,31
2/16/2015,20
2/17/2015,16
2/18/2015,22
2/19/2015,33
2/20/2015,34
2/21/2015,27
2/22/2015,24
2/23/2015,22
2/24/2015,26
2/25/2015,21
2/26/2015,20
2/27/2015,17
2/28/2015,20
3/1/2015,26
3/2/2015,25
3/3/2015,20
3/4/2015,17
3/5/2015,15
3/6/2015,24
3/7/2015,31
3/8/2015,32
3/9/2015,31
3/10/2015,31
3/11/2015,36
3/12/2015,40
3/13/2015,37
3/14/2015,35
3/15/2015,39
3/16/2015,41
3/17/2015,44
3/18/2015,41
3/19/2015,37
3/20/2015,33
3/21/2015,34
3/22/2015,38
3/23/2015,38
3/24/2015,38
3/25/2015,33
3/26/2015,29
3/27/2015,39
3/28/2015,44
3/29/2015,47
3/30/2015,40
3/31/2015,44
4/1/2015,43
4/2/2015,32
4/3/2015,26
